"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","295.40","295.40","295.40","295.40","-","1.50%"
"Apr 29, 2020","291.04","291.04","291.04","291.04","-","-3.97%"
"Apr 28, 2020","303.09","303.09","303.09","303.09","-","-4.73%"
"Apr 27, 2020","318.14","318.14","318.14","318.14","-","0.93%"
"Apr 24, 2020","315.19","315.19","315.19","315.19","-","-3.09%"
"Apr 23, 2020","325.23","325.23","325.23","325.23","-","0.45%"
"Apr 22, 2020","323.77","323.77","323.77","323.77","-","2.03%"
"Apr 20, 2020","317.32","317.32","317.32","317.32","-","2.91%"
"Apr 17, 2020","308.35","308.35","308.35","308.35","-","-1.30%"
"Apr 16, 2020","312.40","312.40","312.40","312.40","-","4.97%"
"Apr 15, 2020","297.62","297.62","297.62","297.62","-","2.47%"
"Apr 14, 2020","290.45","290.45","290.45","290.45","-","1.21%"
"Apr 13, 2020","286.99","286.99","286.99","286.99","-","0.87%"
"Apr 09, 2020","284.52","284.52","284.52","284.52","-","4.78%"
"Apr 08, 2020","271.54","271.54","271.54","271.54","-","-2.11%"
"Apr 07, 2020","277.39","277.39","277.39","277.39","-","-1.68%"
"Apr 06, 2020","282.14","282.14","282.14","282.14","-","1.61%"
"Apr 03, 2020","277.66","277.66","277.66","277.66","-","1.97%"
"Apr 02, 2020","272.30","272.30","272.30","272.30","-","1.14%"
"Apr 01, 2020","269.23","269.23","269.23","269.23","-","2.02%"
"Mar 31, 2020","263.90","263.90","263.90","263.90","-","-2.27%"
"Mar 30, 2020","270.04","270.04","270.04","270.04","-","1.49%"
"Mar 27, 2020","266.08","266.08","266.08","266.08","-","2.29%"
"Mar 26, 2020","260.11","260.11","260.11","260.11","-","3.16%"
"Mar 25, 2020","252.14","252.14","252.14","252.14","-","-3.09%"
"Mar 24, 2020","260.18","260.18","260.18","260.18","-","2.75%"
"Mar 23, 2020","253.21","253.21","253.21","253.21","-","4.10%"
"Mar 20, 2020","243.24","243.24","243.24","243.24","-","0.72%"
"Mar 19, 2020","241.50","241.50","241.50","241.50","-","-0.79%"
"Mar 18, 2020","243.42","243.42","243.42","243.42","-","-0.79%"
"Mar 17, 2020","245.35","245.35","245.35","245.35","-","1.22%"
"Mar 16, 2020","242.39","242.39","242.39","242.39","-","-1.65%"
"Mar 13, 2020","246.46","246.46","246.46","246.46","-","-0.23%"
"Mar 12, 2020","247.02","247.02","247.02","247.02","-","-2.19%"
"Mar 11, 2020","252.56","252.56","252.56","252.56","-","2.43%"
"Mar 10, 2020","246.58","246.58","246.58","246.58","-","-3.81%"
"Mar 09, 2020","256.35","256.35","256.35","256.35","-","3.72%"
"Mar 06, 2020","247.15","247.15","247.15","247.15","-","-0.22%"
"Mar 05, 2020","247.70","247.70","247.70","247.70","-","3.77%"
"Mar 04, 2020","238.71","238.71","238.71","238.71","-","0.74%"
"Mar 03, 2020","236.95","236.95","236.95","236.95","-","3.46%"
"Mar 02, 2020","229.02","229.02","229.02","229.02","-","0.01%"
"Feb 28, 2020","229.00","229.00","229.00","229.00","-","-5.00%"
"Feb 27, 2020","241.04","241.04","241.04","241.04","-","0.03%"
"Feb 26, 2020","240.97","240.97","240.97","240.97","-","2.71%"
"Feb 21, 2020","234.61","234.61","234.61","234.61","-","2.89%"
"Feb 20, 2020","228.03","228.03","228.03","228.03","-","0.82%"
"Feb 19, 2020","226.18","226.18","226.18","226.18","-","0.52%"
"Feb 18, 2020","225.02","225.02","225.02","225.02","-","2.61%"
"Feb 17, 2020","219.30","219.30","219.30","219.30","-","-0.40%"
"Feb 14, 2020","220.18","220.18","220.18","220.18","-","0.16%"
"Feb 13, 2020","219.82","219.82","219.82","219.82","-","0.44%"
"Feb 12, 2020","218.86","218.86","218.86","218.86","-","-0.42%"
"Feb 11, 2020","219.79","219.79","219.79","219.79","-","-0.01%"
"Feb 10, 2020","219.82","219.82","219.82","219.82","-","0.26%"
"Feb 07, 2020","219.26","219.26","219.26","219.26","-","0.19%"
"Feb 06, 2020","218.84","218.84","218.84","218.84","-","0.46%"
"Feb 05, 2020","217.83","217.83","217.83","217.83","-","0.35%"
"Feb 04, 2020","217.07","217.07","217.07","217.07","-","-0.11%"
"Feb 03, 2020","217.31","217.31","217.31","217.31","-","0.14%"
"Jan 31, 2020","217.00","217.00","217.00","217.00","-","-0.48%"
"Jan 30, 2020","218.04","218.04","218.04","218.04","-","1.38%"
"Jan 29, 2020","215.07","215.07","215.07","215.07","-","0.45%"
"Jan 28, 2020","214.11","214.11","214.11","214.11","-","-0.72%"
"Jan 27, 2020","215.66","215.66","215.66","215.66","-","1.64%"
"Jan 24, 2020","212.18","212.18","212.18","212.18","-","-0.81%"
"Jan 23, 2020","213.92","213.92","213.92","213.92","-","0.07%"
"Jan 22, 2020","213.76","213.76","213.76","213.76","-","-0.22%"
"Jan 21, 2020","214.24","214.24","214.24","214.24","-","0.18%"
"Jan 20, 2020","213.85","213.85","213.85","213.85","-","0.70%"
"Jan 17, 2020","212.36","212.36","212.36","212.36","-","-0.93%"
"Jan 16, 2020","214.35","214.35","214.35","214.35","-","-0.04%"
"Jan 15, 2020","214.44","214.44","214.44","214.44","-","-0.02%"
"Jan 14, 2020","214.48","214.48","214.48","214.48","-","-0.13%"
"Jan 13, 2020","214.75","214.75","214.75","214.75","-","0.56%"
"Jan 10, 2020","213.55","213.55","213.55","213.55","-","-0.01%"
"Jan 09, 2020","213.58","213.58","213.58","213.58","-","0.57%"
"Jan 08, 2020","212.37","212.37","212.37","212.37","-","-0.37%"
"Jan 07, 2020","213.16","213.16","213.16","213.16","-","0.65%"
"Jan 06, 2020","211.79","211.79","211.79","211.79","-","0.51%"
"Jan 03, 2020","210.71","210.71","210.71","210.71","-","2.92%"
"Jan 02, 2020","204.74","204.74","204.74","204.74","-","1.03%"
"Dec 30, 2019","202.65","202.65","202.65","202.65","-","-1.64%"
"Dec 27, 2019","206.03","206.03","206.03","206.03","-","1.46%"
"Dec 26, 2019","203.07","203.07","203.07","203.07","-","0.46%"
"Dec 23, 2019","202.14","202.14","202.14","202.14","-","0.38%"
"Dec 20, 2019","201.37","201.37","201.37","201.37","-","0.58%"
"Dec 19, 2019","200.21","200.21","200.21","200.21","-","1.44%"
"Dec 18, 2019","197.36","197.36","197.36","197.36","-","-1.21%"
"Dec 17, 2019","199.77","199.77","199.77","199.77","-","-1.26%"
"Dec 16, 2019","202.31","202.31","202.31","202.31","-","-1.48%"
"Dec 13, 2019","205.35","205.35","205.35","205.35","-","-0.50%"
"Dec 12, 2019","206.39","206.39","206.39","206.39","-","0.47%"
"Dec 11, 2019","205.42","205.42","205.42","205.42","-","0.96%"
"Dec 10, 2019","203.46","203.46","203.46","203.46","-","-0.02%"
"Dec 09, 2019","203.50","203.50","203.50","203.50","-","-0.70%"
"Dec 06, 2019","204.94","204.94","204.94","204.94","-","-1.00%"
"Dec 05, 2019","207.01","207.01","207.01","207.01","-","0.68%"
"Dec 04, 2019","205.62","205.62","205.62","205.62","-","-0.50%"
"Dec 03, 2019","206.66","206.66","206.66","206.66","-","-0.93%"
"Dec 02, 2019","208.60","208.60","208.60","208.60","-","0.53%"
"Nov 29, 2019","207.50","207.50","207.50","207.50","-","1.65%"
"Nov 28, 2019","204.14","204.14","204.14","204.14","-","-0.94%"
"Nov 27, 2019","206.08","206.08","206.08","206.08","-","-0.57%"
"Nov 26, 2019","207.27","207.27","207.27","207.27","-","1.28%"
"Nov 25, 2019","204.66","204.66","204.66","204.66","-","-1.25%"
"Nov 22, 2019","207.25","207.25","207.25","207.25","-","0.40%"
"Nov 21, 2019","206.43","206.43","206.43","206.43","-","0.39%"
"Nov 19, 2019","205.63","205.63","205.63","205.63","-","-0.11%"
"Nov 18, 2019","205.85","205.85","205.85","205.85","-","-0.02%"
"Nov 14, 2019","205.89","205.89","205.89","205.89","-","-0.26%"
"Nov 13, 2019","206.43","206.43","206.43","206.43","-","0.47%"
"Nov 12, 2019","205.46","205.46","205.46","205.46","-","0.32%"
"Nov 11, 2019","204.81","204.81","204.81","204.81","-","-0.21%"
